Listing Number,12345
Agent Days On Market,66
Co-listing Member,John Doe
Co-selling Member,Jane Doe
Cumulative DOM,66
Listing Member,Mr. Smith
Listing Office,Smith Realty
Property Type,Residential
Selling Member,Jane Doe
Selling Office,Smith Realty
# Bedrooms,3
3rd Party,N
Acreage Range,0 - 0.5
Acres,0.25
Approximate Age,1 - 3 Years
Area,M5
Assn Fee,Required
Assn Fee $,292
Assn Fee Terms,Quarterly
Back on Market Date,
Baths - 1/2,1
Baths - Full,2
Bonus,N
Builder,Bob The Builder
Buyer Name,Tom Brown
Cancel Date,
City,Utopia
Compensation,3%-$150
Concessions,5000
Concessions Notes,Seller Paid Closing
Contingency Notes,Upon Buyer's Home Sale
Contingent,Y
Dir,
Directions,"From Main Street, turn north on First Street, left in 5 blocks on Pecan, house third on right."
Dual/Var,N
Elementary School,John Smith Elementary
Expiration Date,
High School,Great Man High School
Interest Rate,
Legal Desc,Lot 33 of Village
Lender,Community Bank
Limited Service,N
List Price/SqFt,228.72
List Type,Excl Right
Listing Date,2016-01-04
Listing Price,645000
Loan Term,30 Year
Lot #,33
Lot Dimensions,50x100
Middle School,Next Step Middle School
Mineral Rights,Conveyed/Reserved/Partial
Model Name,
Occupied By,Owner/Vacant/Tenant
Original List Price,645000
Parish-County,Midland
Pool,N
Projected Closing Date,42491
Realtor Remarks,Lockbox on house.  Call to schedule showing.
Remarks,Really flowery writing here
REO,Y/N
Seller Name,
Seller Phone,
Sold Date,
Sold Price,
Sold Price/SqFt,
Sold Terms,
SqFt - Carport,
SqFt - Covered Porch,513
SqFt - Garage,792
SqFt - Living,2820
SqFt - Lower,1990
SqFt - Source,Owner
SqFt - Storage,41
SqFt - Total,
SqFt - Upper,830
St Suffix,Street
State,LA
Status,A
Status Change Date,2016-01-04
Stories,2
Street Name,Pecan
Street Number,105
Sub-Type,
Subdivision,Village
Tax Assessment Number,3102012
Temp Off Market Date,
Terms of Bonus,"$3,000 Bonus to Selling Agency with reasonable offer."
Total Baths,2.1
Type,DS
Type of Sale,
Under Contract Date,
Unit #,
Use CSS,Y
Warranty,
Year Built,
Zip Code,5010
Zone,
Amenities: Acreage,Y/N
Amenities: Club House,Y/N
Amenities: Community Pool,Y/N
Amenities: Elevator,Y/N
Amenities: Gated Community,Y/N
Amenities: Golf Course,Y/N
Amenities: Health Club,Y/N
Amenities: Library,Y/N
Amenities: Medical Facility,Y/N
Amenities: Other,Y/N
Amenities: Park,Y/N
Amenities: Playground,Y/N
Amenities: Public Trans,Y/N
Amenities: Shopping/Mall,Y/N
Amenities: Tennis Court,Y/N
Appliances: Compactor,Y/N
Appliances: Cooktop - Electric,Y/N
Appliances: Cooktop - Gas,Y/N
Appliances: Dishwasher,Y/N
Appliances: Disposal,Y/N
Appliances: Dryer,Y/N
Appliances: Freezer,Y/N
Appliances: Ice Machine,Y/N
Appliances: Indoor Grill,Y/N
Appliances: Microwave,Y/N
Appliances: None,Y/N
Appliances: Other,Y/N
Appliances: Range/Oven,Y/N
Appliances: Refrigerator,Y/N
Appliances: Wall Oven,Y/N
Appliances: Washer,Y/N
Appliances: Water Softener,Y/N
Approximate Age: 11 - 15 Years,Y/N
Approximate Age: 16 - 20 Years,Y/N
Approximate Age: 21 - 30 Years,Y/N
Approximate Age: 31 - 40 Years,Y/N
Approximate Age: 41 - 50 Years,Y/N
Approximate Age: 51 - 75 Years,Y/N
Approximate Age: 76+ Years,Y/N
Construction: Block,Y/N
Construction: Brick,Y/N
Construction: Concrete,Y/N
Construction: Frame,Y/N
Construction: Log,Y/N
Construction: Metal,Y/N
Construction: Other,Y/N
Cooling: 2 or More Units,Y/N
Cooling: Central Air,Y/N
Cooling: Heat Pump,Y/N
Cooling: None,Y/N
Cooling: Other,Y/N
Cooling: Wall Units,Y/N
Cooling: Window Units,Y/N
Cooling: Zoned,Y/N
Countertops: Butcher Block,Y/N
Countertops: Concrete,Y/N
Countertops: Copper,Y/N
Countertops: Cultured Marble,Y/N
Countertops: Formica,Y/N
Countertops: Granite,Y/N
Countertops: Granite Tile,Y/N
Countertops: Marble,Y/N
Countertops: Other,Y/N
Countertops: Quartz,Y/N
Countertops: Solid Surface,Y/N
Countertops: Stainless Steel,Y/N
Countertops: Tile,Y/N
Equipment: Attic Fan,Y/N
Equipment: Cable Available,Y/N
Equipment: Cable Ready,Y/N
Equipment: Ceiling Fans,Y/N
Equipment: Cent Vacuum,Y/N
Equipment: Garage Door Opener,Y/N
Equipment: Garden Tub,Y/N
Equipment: Hot Tub,Y/N
Equipment: Humidifier,Y/N
Equipment: Intercom,Y/N
Equipment: Other,Y/N
Equipment: Sauna/Steam,Y/N
Equipment: Sec Sys Leased,Y/N
Equipment: Sec Sys Owned,Y/N
Equipment: Sec Sys Pre-Wired Only,Y/N
Equipment: Security System,Y/N
Equipment: Separate Shower,Y/N
Equipment: Smoke Detector,Y/N
Equipment: Water Filter,Y/N
Equipment: Whirlpool,Y/N
Exterior: Balcony,Y/N
Exterior: Barn,Y/N
Exterior: Cabana,Y/N
Exterior: Deck,Y/N
Exterior: Gas/Propane Grill,Y/N
Exterior: Gazebo,Y/N
Exterior: Hot Tub,Y/N
Exterior: Kennel,Y/N
Exterior: Landscaped,Y/N
Exterior: Other,Y/N
Exterior: Outside Kitchen,Y/N
Exterior: Outside Light,Y/N
Exterior: Porch,Y/N
Exterior: Rear Yard Access,Y/N
Exterior: Sprinkler System,Y/N
Exterior: Storage Shed/Building,Y/N
Exterior: Storm Doors,Y/N
Exterior: Storm Windows,Y/N
Exterior: Workshop,Y/N
Fencing: Barb Wire,Y/N
Fencing: Brick,Y/N
Fencing: Chain Link,Y/N
Fencing: Full,Y/N
Fencing: None,Y/N
Fencing: Other,Y/N
Fencing: Partial,Y/N
Fencing: Privacy,Y/N
Fencing: Rail,Y/N
Fencing: Vinyl,Y/N
Fencing: Wood,Y/N
Financing: Assumable,Y/N
Financing: Bond for Deed,Y/N
Financing: Cash,Y/N
Financing: Conventional,Y/N
Financing: FHA,Y/N
Financing: Lease Purchase,Y/N
Financing: None,Y/N
Financing: Owner Finance,Y/N
Financing: Private Banking,Y/N
Financing: Rural Development,Y/N
Financing: See Remarks,Y/N
Financing: Trade/Exchange,Y/N
Financing: VA,Y/N
Fireplace: 1 Fireplace,Y/N
Fireplace: 2 Fireplaces,Y/N
Fireplace: 3+ Fireplaces,Y/N
Fireplace: Double Sided,Y/N
Fireplace: Gas Logs,Y/N
Fireplace: Masonry,Y/N
Fireplace: Other,Y/N
Fireplace: Pre-Fab,Y/N
Fireplace: Ventless,Y/N
Fireplace: Wood Burning,Y/N
Flooring: Brick,Y/N
Flooring: Carpet,Y/N
Flooring: Concrete,Y/N
Flooring: Laminate,Y/N
Flooring: Marble,Y/N
Flooring: Other,Y/N
Flooring: Pavers,Y/N
Flooring: Slate,Y/N
Flooring: Stained/Scored Concrete,Y/N
Flooring: Tile,Y/N
Flooring: Vinyl Sheet,Y/N
Flooring: Vinyl Tile,Y/N
Flooring: Wood,Y/N
